Name,Variant,Caller,CallerVariant,Count,InputWidth:Average,InputWidth:SecondMoment,InputWidth:Variance,InputWidth:Sum,InputWidth:Min,InputWidth:Max,ExtraWidth:Average,ExtraWidth:SecondMoment,ExtraWidth:Variance,ExtraWidth:Sum,ExtraWidth:Min,ExtraWidth:Max,ReturnWidth:Average,ReturnWidth:SecondMoment,ReturnWidth:Variance,ReturnWidth:Sum,ReturnWidth:Min,ReturnWidth:Max,BorrowedWidth:Average,BorrowedWidth:SecondMoment,BorrowedWidth:Variance,BorrowedWidth:Sum,BorrowedWidth:Min,BorrowedWidth:Max
Microsoft.Quantum.Canon.ApplyQuantumFourierTransformBE,Body,Microsoft.Quantum.Canon.ApplyWithInputTransformationCA,Body,162,5,25,0,810,5,5,1,1,0,162,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Canon.ApplyWithInputTransformationCA,Body,Microsoft.Quantum.Arithmetic.ApplyReversedOpBECA,Body,162,5,25,0,810,5,5,1,1,0,162,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Arithmetic.ApplyReversedOpBECA,Body,Microsoft.Quantum.Canon.ApplyQuantumFourierTransform,Body,162,5,25,0,810,5,5,1,1,0,162,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Canon.ApplyQuantumFourierTransform,Body,Microsoft.Quantum.Canon.QFTLE,Body,162,5,25,0,810,5,5,1,1,0,162,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Canon.QFTLE,Body,Microsoft.Quantum.Arithmetic.ApplyPhaseLEOperationOnLECA,Controlled,9,5,25,0,45,5,5,1,1,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Body,1116,1,1,0,1116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Body,3348,1,1,0,3348,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Body,3348,2,4,0,6696,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Body,1116,3,9,0,3348,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Body,1116,3,9,0,3348,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
