Name,Variant,Caller,CallerVariant,Count,Depth:Average,Depth:SecondMoment,Depth:Variance,Depth:Sum,Depth:Min,Depth:Max,StartTimeDifference:Average,StartTimeDifference:SecondMoment,StartTimeDifference:Variance,StartTimeDifference:Sum,StartTimeDifference:Min,StartTimeDifference:Max,Width:Average,Width:SecondMoment,Width:Variance,Width:Sum,Width:Min,Width:Max
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledR1Frac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU,Body,540,1.4518518518518517,8.177777777777777,6.0811653954511105,784,0,8,35.820370370370405,1786.2277777777779,504.06229299800685,19343,4,104,0.0018518518518518547,0.001851851851851852,0.0018518518518518524,1,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Adjoint,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Adjoint,3240,1,1,0,3240,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Adjoint,3240,1,1,0,3240,1,1,1.3249999999999973,13.791666666666666,12.039757641247299,4293,0,52,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Adjoint,1080,1,1,0,1080,1,1,1,1,0,1080,1,1,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Adjoint,1080,4.641666666666668,21.775,0.23014365152919367,5013,4,5,1.5250000000000006,21.391666666666666,19.083711770157553,1647,0,52,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Adjoint,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder,Adjoint,1080,4.641666666666668,21.775,0.23014365152919367,5013,4,5,1.5250000000000006,21.391666666666666,19.083711770157553,1647,0,52,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU,Body,540,4.635185185185188,21.716666666666665,0.23215488215488223,2503,4,5,1.8759259259259264,37.92037037037037,34.465096543668,1013,0,52,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledFromOpAndSinglyCtrldOp,Body,540,10.570370370370359,114.31111111111112,2.5831649831649837,5708,4,14,245.79074074074055,2105156.2537037036,2048536.7520476878,132727,4,18532,0.0037037037037037095,0.003703703703703704,0.0036968322682608364,2,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.R1Frac,Controlled,Microsoft.Quantum.Arithmetic.IncrementPhaseByInteger,Controlled,720,8.47777777777779,89.98333333333333,18.13580590326072,6104,0,14,186.5930555555553,1578912.9402777778,1546243.5323578247,134347,0,18532,0.002777777777777782,0.002777777777777778,0.0027739143872662617,2,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliXFlip,Body,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliXFlip,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CZ,Body,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CZ,Body,288,0,0,0,0,0,0,32.461805555555586,1497.7534722222222,445.5316371467287,9349,4,100,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliXFlip,Adjoint,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliXFlip,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CZ,Body,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledR1Frac,Body,288,0,0,0,0,0,0,32.461805555555586,1497.7534722222222,445.5316371467287,9349,4,100,0,0,0,0,0,0
Microsoft.Quantum.Arithmetic.IncrementPhaseByInteger,Controlled,Microsoft.Quantum.Arithmetic.IncrementPhaseByModularInteger,Controlled,108,38.1851851851852,1887.1851851851852,433.0868812737971,4124,9,55,1080.0000000000005,10518433.111111112,9439435.289719628,116640,28,18532,0.01851851851851854,0.037037037037037035,0.03703703703703703,2,0,2
